average_refresh_rate_hz,min_refresh_interval_ms,max_refresh_interval_ms,refresh_interval_std_ms,packet_loss_count,packet_loss_rate,packet_loss_threshold_ms,avg_processing_delay_ms,max_processing_delay_ms,velocity_variation_coeff,acceleration_std,angle_variation_rad,total_data_points,cleaned_data_points,total_duration_ms,file_name
50.54827493982348,7.999999999068677,59.00000000093132,8.030227366738112,7,0.012367491166077738,42.5,12.613756613751686,18.0,0.6593491034857256,0.051467296549123756,0.0824109277660626,567,567,11217.0,20250806_beisi1_BT
56.53333333333333,7.999999999068677,50.0,5.290457369435724,1,0.0015748031496062992,42.5,12.410377358486173,22.0,0.6917722372642153,0.0696824278291728,0.07473490448337164,636,636,11250.0,20250806_beisi2_BT
57.77935564036567,7.999999999068677,42.00000000093132,5.105435321557646,0,0.0,42.5,12.254992319502726,21.000000000931323,0.6210852757672073,0.05632069440286617,0.0716274941261504,651,651,11267.0,20250806_beisi3_BT
56.53333333333333,7.999999999068677,57.99999999906868,5.464700808450857,2,0.0031496062992125984,42.5,12.182389937187457,19.0,0.5763271961544616,0.042897920470123356,0.07767425444936812,636,636,11250.0,20250806_beisi4_BT
54.329522290171056,7.999999999068677,59.000000001862645,7.033592912490178,6,0.00980392156862745,42.5,12.238172920048541,18.0,0.6699445501202564,0.05738111309745218,0.07922657234585669,613,613,11283.0,20250806_beisi5_BT
53.401087634839975,7.999999999068677,59.0,7.209924544340244,6,0.010033444816053512,42.5,12.649415692808931,21.0,0.6471877023238486,0.04865938729996937,0.08090006795421982,599,599,11217.0,20250806_glass1_BT
57.40659340659341,8.0,50.0,5.215173879886549,1,0.0015337423312883436,42.5,12.519142419554772,19.0,0.5574618510013605,0.0421745021457469,0.07833479082219037,653,653,11375.0,20250806_glass2_BT
58.41409691629956,8.0,50.0,4.853453398769956,1,0.0015105740181268882,42.5,12.502262443438914,18.0,0.5736960595384674,0.04487236620893998,0.07898755956307445,663,663,11350.0,20250806_glass3_BT
57.49251628807417,7.999999999068677,50.0,5.090718843604135,1,0.0015337423312883436,42.5,12.984686064297136,23.0,0.5110352599818574,0.03400822971714916,0.07921927486865299,653,653,11358.000000000931,20250806_glass4_BT
57.71643663739022,7.999999999068677,58.0,5.100370734286456,1,0.0015552099533437014,42.5,12.341614906832298,21.0,0.5810779965181467,0.045049336514023784,0.0817173870517878,644,644,11158.0,20250806_glass5_BT
58.24894703826386,7.999999999767169,42.0,4.869251618640845,0,0.0,42.5,12.69999999998782,23.0,0.5550700032718161,0.04450623783823026,0.07875294908458552,650,650,11159.000000000233,20250806_maila1_BT
58.135412974122644,8.0,34.00000000023283,4.682125397114275,0,0.0,42.5,12.625000000007098,23.00000000023283,0.5449463821677959,0.040896720488551364,0.07730156844269304,656,656,11284.0,20250806_maila2_BT
56.0,7.999999999767169,50.0,5.836641882824115,2,0.003179650238473768,42.5,12.47777777779293,22.00000000023283,0.5477666998651268,0.03756998193925854,0.08172904067473,630,630,11250.0,20250806_maila3_BT
55.73505654281099,7.999999999767169,42.00000000023283,5.834474493203511,0,0.0,42.5,12.603864734293143,21.00000000023283,0.6818073303418007,0.0602309447870499,0.07893307785069949,621,621,11142.0,20250806_maila4_BT
58.57257132699437,7.999999999767169,42.0,4.538350433980467,0,0.0,42.5,12.467374810311952,20.0,0.5676875003495223,0.045804107267721716,0.07687534601303375,659,659,11250.999999999767,20250806_maila5_BT
