filename,projectname,country,version,date,formatted_date,crc,release,file_size,full_path
KB06103_DE_0.1.40.250208_F2EE_beta_Open.bin,KB06103,DE,0.1.40,250208,2008-02-25,F2EE,beta,79836,D:\Data\Document\ProductsLibrary\C线产品资料库\KB06103\固件\beta\KB06103_0.1.40.250208_beta\DE\KB06103_DE_0.1.40.250208_F2EE_beta_Open.bin
KB06103_US_0.1.40.250208_B6AE_beta_Open.bin,KB06103,US,0.1.40,250208,2008-02-25,B6AE,beta,79572,D:\Data\Document\ProductsLibrary\C线产品资料库\KB06103\固件\beta\KB06103_0.1.40.250208_beta\US\KB06103_US_0.1.40.250208_B6AE_beta_Open.bin
KB06103_DE_0.1.30.241203_10D6_release_Encrypt.bin,KB06103,DE,0.1.30,241203,2003-12-24,10D6,release,79036,D:\Data\Document\ProductsLibrary\C线产品资料库\KB06103\固件\release\KB06103_0.1.30.241203_release\DE\KB06103_DE_0.1.30.241203_10D6_release_Encrypt.bin
KB06103_DE_0.1.30.241203_3313_release_Open.bin,KB06103,DE,0.1.30,241203,2003-12-24,3313,release,79016,D:\Data\Document\ProductsLibrary\C线产品资料库\KB06103\固件\release\KB06103_0.1.30.241203_release\DE\KB06103_DE_0.1.30.241203_3313_release_Open.bin
KB06103_US_0.1.30.241203_DDD5_release_Encrypt.bin,KB06103,US,0.1.30,241203,2003-12-24,DDD5,release,78776,D:\Data\Document\ProductsLibrary\C线产品资料库\KB06103\固件\release\KB06103_0.1.30.241203_release\US\KB06103_US_0.1.30.241203_DDD5_release_Encrypt.bin
KB06103_US_0.1.30.241203_FD37_release_Open.bin,KB06103,US,0.1.30,241203,2003-12-24,FD37,release,78760,D:\Data\Document\ProductsLibrary\C线产品资料库\KB06103\固件\release\KB06103_0.1.30.241203_release\US\KB06103_US_0.1.30.241203_FD37_release_Open.bin
KB06103_DE_0.1.32.241218_8B4E_release_Open.bin,KB06103,DE,0.1.32,241218,2018-12-24,8B4E,release,79332,D:\Data\Document\ProductsLibrary\C线产品资料库\KB06103\固件\release\KB06103_0.1.32.241218_release\DE\KB06103_DE_0.1.32.241218_8B4E_release_Open.bin
KB06103_US_0.1.32.241218_2992_release_Open.bin,KB06103,US,0.1.32,241218,2018-12-24,2992,release,79068,D:\Data\Document\ProductsLibrary\C线产品资料库\KB06103\固件\release\KB06103_0.1.32.241218_release\US\KB06103_US_0.1.32.241218_2992_release_Open.bin
KB06103_DE_0.1.40.250208_F2EE_release_Open.bin,KB06103,DE,0.1.40,250208,2008-02-25,F2EE,release,79836,D:\Data\Document\ProductsLibrary\C线产品资料库\KB06103\固件\release\KB06103_0.1.40.250208_release\DE\KB06103_DE_0.1.40.250208_F2EE_release_Open.bin
KB06103_US_0.1.40.250208_B6AE_release_Open.bin,KB06103,US,0.1.40,250208,2008-02-25,B6AE,release,79572,D:\Data\Document\ProductsLibrary\C线产品资料库\KB06103\固件\release\KB06103_0.1.40.250208_release\US\KB06103_US_0.1.40.250208_B6AE_release_Open.bin
NeoMagic_SE_UK_IT_0.2.1.250714_E267_release_Open.bin,NeoMagic_SE_UK,IT,0.2.1,250714,2014-07-25,E267,release,82740,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119\固件\NeoMagic_SE_0.2.1.250714_release\UK_IT\NeoMagic_SE_UK_IT_0.2.1.250714_E267_release_Open.bin
NeoMagic_SE_DE_0.2.2.250730_E5EA_beta_Open.bin,NeoMagic_SE,DE,0.2.2,250730,2030-07-25,E5EA,beta,82740,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119\固件\NeoMagic_SE_0.2.2.250730_beta\DE\NeoMagic_SE_DE_0.2.2.250730_E5EA_beta_Open.bin
NeoMagic_SE_FR_0.2.2.250730_29A6_beta_Open.bin,NeoMagic_SE,FR,0.2.2,250730,2030-07-25,29A6,beta,82904,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119\固件\NeoMagic_SE_0.2.2.250730_beta\FR\NeoMagic_SE_FR_0.2.2.250730_29A6_beta_Open.bin
NeoMagic_SE_JP_0.2.2.250730_E3F0_beta_Open.bin,NeoMagic_SE,JP,0.2.2,250730,2030-07-25,E3F0,beta,82740,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119\固件\NeoMagic_SE_0.2.2.250730_beta\JP\NeoMagic_SE_JP_0.2.2.250730_E3F0_beta_Open.bin
NeoMagic_SE_UK_IT_0.2.2.250730_E8BC_beta_Open.bin,NeoMagic_SE_UK,IT,0.2.2,250730,2030-07-25,E8BC,beta,82748,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119\固件\NeoMagic_SE_0.2.2.250730_beta\UK_IT\NeoMagic_SE_UK_IT_0.2.2.250730_E8BC_beta_Open.bin
NeoMagic_SE_US_0.2.2.250730_E50E_beta_Open.bin,NeoMagic_SE,US,0.2.2,250730,2030-07-25,E50E,beta,82740,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119\固件\NeoMagic_SE_0.2.2.250730_beta\US\NeoMagic_SE_US_0.2.2.250730_E50E_beta_Open.bin
NeoMagic_SE_DE_0.2.3.250826_E498_release_Open.bin,NeoMagic_SE,DE,0.2.3,250826,2026-08-25,E498,release,82716,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119\固件\NeoMagic_SE_0.2.3.250826_release\DE\NeoMagic_SE_DE_0.2.3.250826_E498_release_Open.bin
NeoMagic_SE_FR_0.2.3.250826_1804_release_Open.bin,NeoMagic_SE,FR,0.2.3,250826,2026-08-25,1804,release,82876,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119\固件\NeoMagic_SE_0.2.3.250826_release\FR\NeoMagic_SE_FR_0.2.3.250826_1804_release_Open.bin
NeoMagic_SE_JP_0.2.3.250826_E295_release_Open.bin,NeoMagic_SE,JP,0.2.3,250826,2026-08-25,E295,release,82716,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119\固件\NeoMagic_SE_0.2.3.250826_release\JP\NeoMagic_SE_JP_0.2.3.250826_E295_release_Open.bin
NeoMagic_SE_UK_IT_0.2.3.250826_E7A9_release_Open.bin,NeoMagic_SE_UK,IT,0.2.3,250826,2026-08-25,E7A9,release,82724,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119\固件\NeoMagic_SE_0.2.3.250826_release\UK_IT\NeoMagic_SE_UK_IT_0.2.3.250826_E7A9_release_Open.bin
NeoMagic_SE_US_0.2.3.250826_E3BC_release_Open.bin,NeoMagic_SE,US,0.2.3,250826,2026-08-25,E3BC,release,82716,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119\固件\NeoMagic_SE_0.2.3.250826_release\US\NeoMagic_SE_US_0.2.3.250826_E3BC_release_Open.bin
KB09119_11_DE_0.0.18.240725_release.bin,KB09119_11,DE,0.0.18,240725,2025-07-24,,release,80144,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119_11_black\固件释放\KB09119_11_DE_0.0.18.240725_release.bin
KB09119_11_UK_0.0.18.240725_release.bin,KB09119_11,UK,0.0.18,240725,2025-07-24,,release,80144,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119_11_black\固件释放\KB09119_11_UK_0.0.18.240725_release.bin
KB09119_11_US_0.0.18.240725_release.bin,KB09119_11,US,0.0.18,240725,2025-07-24,,release,80128,D:\Data\Document\ProductsLibrary\C线产品资料库\KB09119_11_black\固件释放\KB09119_11_US_0.0.18.240725_release.bin
KB105_DE_0.0.21.250616_693C_beta_Open.bin,KB105,DE,0.0.21,250616,2016-06-25,693C,beta,96952,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.21.250616_beta\DE\KB105_DE_0.0.21.250616_693C_beta_Open.bin
KB105_UK_0.0.21.250616_590E_beta_Open.bin,KB105,UK,0.0.21,250616,2016-06-25,590E,beta,96864,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.21.250616_beta\UK\KB105_UK_0.0.21.250616_590E_beta_Open.bin
KB105_US_0.0.21.250616_6C8_beta_Open.bin,KB105,US,0.0.21,250616,2016-06-25,6C8,beta,96696,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.21.250616_beta\US\KB105_US_0.0.21.250616_6C8_beta_Open.bin
KB105_DE_0.0.21.250619_2ACA_beta_Open.bin,KB105,DE,0.0.21,250619,2019-06-25,2ACA,beta,96688,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.21.250619_beta\DE\KB105_DE_0.0.21.250619_2ACA_beta_Open.bin
KB105_UK_0.0.21.250619_14AC_beta_Open.bin,KB105,UK,0.0.21,250619,2019-06-25,14AC,beta,96600,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.21.250619_beta\UK\KB105_UK_0.0.21.250619_14AC_beta_Open.bin
KB105_US_0.0.21.250619_BA7C_beta_Open.bin,KB105,US,0.0.21,250619,2019-06-25,BA7C,beta,96428,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.21.250619_beta\US\KB105_US_0.0.21.250619_BA7C_beta_Open.bin
KB105_DE_0.0.22.250624_B18B_beta_Open.bin,KB105,DE,0.0.22,250624,2024-06-25,B18B,beta,97304,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.22.250624_beta\DE\KB105_DE_0.0.22.250624_B18B_beta_Open.bin
KB105_UK_0.0.22.250624_B1E7_beta_Open.bin,KB105,UK,0.0.22,250624,2024-06-25,B1E7,beta,97216,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.22.250624_beta\UK\KB105_UK_0.0.22.250624_B1E7_beta_Open.bin
KB105_US_0.0.22.250624_181D_beta_Open.bin,KB105,US,0.0.22,250624,2024-06-25,181D,beta,97044,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.22.250624_beta\US\KB105_US_0.0.22.250624_181D_beta_Open.bin
KB105_DE_0.0.23.250704_5905_beta_Open.bin,KB105,DE,0.0.23,250704,2004-07-25,5905,beta,97624,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.23.250704_beta\DE\KB105_DE_0.0.23.250704_5905_beta_Open.bin
KB105_UK_0.0.23.250704_2EE4_beta_Open.bin,KB105,UK,0.0.23,250704,2004-07-25,2EE4,beta,97536,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.23.250704_beta\UK\KB105_UK_0.0.23.250704_2EE4_beta_Open.bin
KB105_US_0.0.23.250704_E5BB_beta_Open.bin,KB105,US,0.0.23,250704,2004-07-25,E5BB,beta,97368,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.23.250704_beta\US\KB105_US_0.0.23.250704_E5BB_beta_Open.bin
KB105_DE_0.0.23.250708_5A36_beta_Open.bin,KB105,DE,0.0.23,250708,2008-07-25,5A36,beta,97624,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.23.250708_beta\DE\KB105_DE_0.0.23.250708_5A36_beta_Open.bin
KB105_UK_0.0.23.250708_3015_beta_Open.bin,KB105,UK,0.0.23,250708,2008-07-25,3015,beta,97536,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.23.250708_beta\UK\KB105_UK_0.0.23.250708_3015_beta_Open.bin
KB105_US_0.0.23.250708_E6EC_beta_Open.bin,KB105,US,0.0.23,250708,2008-07-25,E6EC,beta,97368,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.23.250708_beta\US\KB105_US_0.0.23.250708_E6EC_beta_Open.bin
