scan_time分析报告 - baseus-主板固定60Hz发送4.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 149.25
  递增值标准差: 8.61
  最小递增值: 50
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 0.104 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
--------------------------------------------------
1	20:15:52.901	0		N/A
2	20:15:52.918	150		150.0
3	20:15:52.933	300		150.0
4	20:15:52.948	450		150.0
5	20:15:52.978	600		150.0
6	20:15:52.993	750		150.0
7	20:15:53.008	900		150.0
8	20:15:53.023	1050		150.0
9	20:15:53.038	1200		150.0
10	20:15:53.053	1350		150.0
11	20:15:53.067	1500		150.0
12	20:15:53.082	1650		150.0
13	20:15:53.096	1800		150.0
14	20:15:53.111	1950		150.0
15	20:15:53.126	2100		150.0
16	20:15:53.141	2250		150.0
17	20:15:53.156	2400		150.0
18	20:15:53.185	2550		150.0
19	20:15:53.201	2700		150.0
20	20:15:53.216	2850		150.0
21	20:15:53.231	3000		150.0
22	20:15:53.246	3150		150.0
23	20:15:53.261	3300		150.0
24	20:15:53.291	3450		150.0
25	20:15:53.308	3600		150.0
26	20:15:53.323	3750		150.0
27	20:15:53.338	3900		150.0
28	20:15:53.353	4050		150.0
29	20:15:53.367	4200		150.0
30	20:15:53.384	4350		150.0
31	20:15:53.398	4500		150.0
32	20:15:53.413	4650		150.0
33	20:15:53.441	4800		150.0
34	20:15:53.458	4950		150.0
35	20:15:53.471	5100		150.0
36	20:15:53.488	5250		150.0
37	20:15:53.503	5400		150.0
38	20:15:53.518	5550		150.0
39	20:15:53.533	5700		150.0
40	20:15:53.548	5850		150.0
41	20:15:53.563	6000		150.0
42	20:15:53.578	6150		150.0
43	20:15:53.608	6300		150.0
44	20:15:53.623	6450		150.0
45	20:15:53.638	6600		150.0
46	20:15:53.653	6750		150.0
47	20:15:53.668	6900		150.0
48	20:15:53.684	7050		150.0
49	20:15:53.698	7200		150.0
50	20:15:53.713	7350		150.0
