scan_time分析报告 - baseus-主板固定60Hz发送5.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 149.25
  递增值标准差: 8.61
  最小递增值: 50
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 0.104 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
--------------------------------------------------
1	20:20:14.904	0		N/A
2	20:20:14.920	150		150.0
3	20:20:14.935	300		150.0
4	20:20:14.950	450		150.0
5	20:20:14.979	600		150.0
6	20:20:14.995	750		150.0
7	20:20:15.010	900		150.0
8	20:20:15.026	1050		150.0
9	20:20:15.056	1200		150.0
10	20:20:15.071	1350		150.0
11	20:20:15.086	1500		150.0
12	20:20:15.100	1650		150.0
13	20:20:15.117	1800		150.0
14	20:20:15.131	1950		150.0
15	20:20:15.146	2100		150.0
16	20:20:15.162	2250		150.0
17	20:20:15.176	2400		150.0
18	20:20:15.206	2550		150.0
19	20:20:15.221	2700		150.0
20	20:20:15.236	2850		150.0
21	20:20:15.251	3000		150.0
22	20:20:15.266	3150		150.0
23	20:20:15.282	3300		150.0
24	20:20:15.296	3450		150.0
25	20:20:15.311	3600		150.0
26	20:20:15.326	3750		150.0
27	20:20:15.341	3900		150.0
28	20:20:15.371	4050		150.0
29	20:20:15.386	4200		150.0
30	20:20:15.402	4350		150.0
31	20:20:15.417	4500		150.0
32	20:20:15.431	4650		150.0
33	20:20:15.447	4800		150.0
34	20:20:15.461	4950		150.0
35	20:20:15.476	5100		150.0
36	20:20:15.491	5250		150.0
37	20:20:15.520	5400		150.0
38	20:20:15.537	5550		150.0
39	20:20:15.551	5700		150.0
40	20:20:15.567	5850		150.0
41	20:20:15.582	6000		150.0
42	20:20:15.596	6150		150.0
43	20:20:15.611	6300		150.0
44	20:20:15.626	6450		150.0
45	20:20:15.641	6600		150.0
46	20:20:15.671	6750		150.0
47	20:20:15.686	6900		150.0
48	20:20:15.701	7050		150.0
49	20:20:15.715	7200		150.0
50	20:20:15.731	7350		150.0
51	20:20:15.747	7500		150.0
52	20:20:15.762	7650		150.0
53	20:20:15.776	7800		150.0
54	20:20:15.791	7950		150.0
55	20:20:15.806	8100		150.0
56	20:20:15.837	8250		150.0
57	20:20:15.851	8400		150.0
58	20:20:15.866	8550		150.0
59	20:20:15.882	8700		150.0
60	20:20:15.896	8850		150.0
61	20:20:15.911	9000		150.0
62	20:20:15.926	9150		150.0
63	20:20:15.941	9300		150.0
64	20:20:15.956	9450		150.0
65	20:20:15.986	9600		150.0
66	20:20:16.001	9750		150.0
67	20:20:16.016	9900		150.0
68	20:20:16.032	10050		150.0
69	20:20:16.047	10200		150.0
70	20:20:16.061	10350		150.0
71	20:20:16.076	10500		150.0
