scan_time分析报告 - KB04122-主板固定60Hz发送4.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 149.25
  递增值标准差: 8.61
  最小递增值: 50
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 0.104 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
--------------------------------------------------
1	19:54:51.661	0		N/A
2	19:54:51.678	150		150.0
3	19:54:51.693	300		150.0
4	19:54:51.708	450		150.0
5	19:54:51.723	600		150.0
6	19:54:51.738	750		150.0
7	19:54:51.753	900		150.0
8	19:54:51.768	1050		150.0
9	19:54:51.783	1200		150.0
10	19:54:51.798	1350		150.0
11	19:54:51.813	1500		150.0
12	19:54:51.828	1650		150.0
13	19:54:51.843	1800		150.0
14	19:54:51.873	1950		150.0
15	19:54:51.888	2100		150.0
16	19:54:51.903	2250		150.0
17	19:54:51.918	2400		150.0
18	19:54:51.933	2550		150.0
19	19:54:51.948	2700		150.0
20	19:54:51.963	2850		150.0
21	19:54:51.978	3000		150.0
22	19:54:52.007	3150		150.0
23	19:54:52.023	3300		150.0
24	19:54:52.038	3450		150.0
25	19:54:52.053	3600		150.0
26	19:54:52.068	3750		150.0
27	19:54:52.083	3900		150.0
28	19:54:52.098	4050		150.0
29	19:54:52.111	4200		150.0
30	19:54:52.128	4350		150.0
31	19:54:52.158	4500		150.0
32	19:54:52.173	4650		150.0
33	19:54:52.188	4800		150.0
34	19:54:52.203	4950		150.0
35	19:54:52.218	5100		150.0
36	19:54:52.233	5250		150.0
37	19:54:52.263	5400		150.0
38	19:54:52.278	5550		150.0
39	19:54:52.293	5700		150.0
40	19:54:52.308	5850		150.0
41	19:54:52.323	6000		150.0
42	19:54:52.338	6150		150.0
43	19:54:52.353	6300		150.0
44	19:54:52.383	6450		150.0
45	19:54:52.398	6600		150.0
46	19:54:52.413	6750		150.0
47	19:54:52.428	6900		150.0
48	19:54:52.443	7050		150.0
49	19:54:52.458	7200		150.0
50	19:54:52.473	7350		150.0
51	19:54:52.488	7500		150.0
52	19:54:52.503	7650		150.0
53	19:54:52.518	7800		150.0
54	19:54:52.533	7950		150.0
55	19:54:52.561	8100		150.0
56	19:54:52.578	8250		150.0
57	19:54:52.593	8400		150.0
58	19:54:52.608	8550		150.0
59	19:54:52.622	8700		150.0
60	19:54:52.638	8850		150.0
61	19:54:52.653	9000		150.0
62	19:54:52.668	9150		150.0
63	19:54:52.683	9300		150.0
64	19:54:52.711	9450		150.0
65	19:54:52.727	9600		150.0
66	19:54:52.741	9750		150.0
67	19:54:52.756	9900		150.0
68	19:54:52.800	10050		150.0
69	19:54:52.816	10200		150.0
70	19:54:52.831	10350		150.0
71	19:54:52.846	10500		150.0
72	19:54:52.861	10650		150.0
73	19:54:52.876	10800		150.0
74	19:54:52.891	10950		150.0
75	19:54:52.906	11100		150.0
76	19:54:52.921	11250		150.0
77	19:54:52.936	11400		150.0
78	19:54:52.951	11550		150.0
79	19:54:52.966	11700		150.0
80	19:54:52.982	11850		150.0
81	19:54:52.998	12000		150.0
82	19:54:53.013	12150		150.0
83	19:54:53.028	12300		150.0
84	19:54:53.043	12450		150.0
85	19:54:53.058	12600		150.0
86	19:54:53.073	12750		150.0
87	19:54:53.088	12900		150.0
88	19:54:53.116	13050		150.0
89	19:54:53.145	13200		150.0
90	19:54:53.162	13350		150.0
91	19:54:53.178	13500		150.0
92	19:54:53.193	13650		150.0
93	19:54:53.208	13800		150.0
94	19:54:53.223	13950		150.0
95	19:54:53.236	14100		150.0
96	19:54:53.253	14250		150.0
97	19:54:53.268	14400		150.0
98	19:54:53.298	14550		150.0
99	19:54:53.313	14700		150.0
100	19:54:53.328	14850		150.0
101	19:54:53.342	15000		150.0
102	19:54:53.370	15150		150.0
103	19:54:53.388	15300		150.0
104	19:54:53.418	15450		150.0
105	19:54:53.433	15600		150.0
106	19:54:53.448	15750		150.0
107	19:54:53.463	15900		150.0
108	19:54:53.478	16050		150.0
109	19:54:53.493	16200		150.0
110	19:54:53.508	16350		150.0
111	19:54:53.523	16500		150.0
112	19:54:53.538	16650		150.0
113	19:54:53.553	16800		150.0
114	19:54:53.568	16950		150.0
115	19:54:53.583	17100		150.0
116	19:54:53.598	17250		150.0
117	19:54:53.613	17400		150.0
118	19:54:53.628	17550		150.0
119	19:54:53.643	17700		150.0
120	19:54:53.658	17850		150.0
121	19:54:53.673	18000		150.0
122	19:54:53.688	18150		150.0
123	19:54:53.703	18300		150.0
124	19:54:53.718	18450		150.0
125	19:54:53.747	18600		150.0
126	19:54:53.763	18750		150.0
127	19:54:53.778	18900		150.0
128	19:54:53.793	19050		150.0
129	19:54:53.823	19200		150.0
130	19:54:53.838	19350		150.0
131	19:54:53.851	19500		150.0
132	19:54:53.868	19650		150.0
133	19:54:53.883	19800		150.0
134	19:54:53.898	19950		150.0
135	19:54:53.913	0		50.0
136	19:54:53.928	150		150.0
137	19:54:53.943	300		150.0
138	19:54:53.957	450		150.0
139	19:54:53.973	600		150.0
140	19:54:53.988	750		150.0
141	19:54:54.003	900		150.0
142	19:54:54.018	1050		150.0
143	19:54:54.033	1200		150.0
