scan_time分析报告 - KB04122-主板固定60Hz发送2.txt
==================================================

基本统计信息:
  总数据包数: 1432
  有效scan_time数: 1432
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 149.23
  递增值标准差: 8.73
  最小递增值: 50
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [91, 225, 359, 493, 627, 761, 895, 1029, 1163, 1297]...
  平均重置间隔: 119.3 包/次

一致性评估:
  一致性评分: 0.103 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
--------------------------------------------------
1	19:51:27.722	6450		N/A
2	19:51:27.737	6600		150.0
3	19:51:27.752	6750		150.0
4	19:51:27.768	6900		150.0
5	19:51:27.796	7050		150.0
6	19:51:27.812	7200		150.0
7	19:51:27.828	7350		150.0
8	19:51:27.842	7500		150.0
9	19:51:27.857	7650		150.0
10	19:51:27.872	7800		150.0
11	19:51:27.887	7950		150.0
12	19:51:27.902	8100		150.0
13	19:51:27.931	8250		150.0
14	19:51:27.947	8400		150.0
15	19:51:27.962	8550		150.0
16	19:51:27.978	8700		150.0
17	19:51:27.992	8850		150.0
18	19:51:28.008	9000		150.0
19	19:51:28.022	9150		150.0
20	19:51:28.037	9300		150.0
21	19:51:28.052	9450		150.0
22	19:51:28.068	9600		150.0
23	19:51:28.083	9750		150.0
24	19:51:28.097	9900		150.0
25	19:51:28.112	10050		150.0
26	19:51:28.127	10200		150.0
27	19:51:28.143	10350		150.0
28	19:51:28.157	10500		150.0
29	19:51:28.172	10650		150.0
30	19:51:28.187	10800		150.0
31	19:51:28.216	10950		150.0
32	19:51:28.232	11100		150.0
33	19:51:28.247	11250		150.0
34	19:51:28.262	11400		150.0
35	19:51:28.278	11550		150.0
36	19:51:28.293	11700		150.0
37	19:51:28.307	11850		150.0
38	19:51:28.322	12000		150.0
39	19:51:28.338	12150		150.0
40	19:51:28.353	12300		150.0
41	19:51:28.382	12450		150.0
42	19:51:28.397	12600		150.0
43	19:51:28.413	12750		150.0
44	19:51:28.427	12900		150.0
45	19:51:28.443	13050		150.0
46	19:51:28.471	13200		150.0
47	19:51:28.487	13350		150.0
48	19:51:28.502	13500		150.0
49	19:51:28.517	13650		150.0
50	19:51:28.532	13800		150.0
51	19:51:28.547	13950		150.0
52	19:51:28.562	14100		150.0
53	19:51:28.578	14250		150.0
54	19:51:28.606	14400		150.0
55	19:51:28.622	14550		150.0
56	19:51:28.637	14700		150.0
57	19:51:28.652	14850		150.0
58	19:51:28.668	15000		150.0
59	19:51:28.683	15150		150.0
60	19:51:28.697	15300		150.0
61	19:51:28.712	15450		150.0
62	19:51:28.728	15600		150.0
63	19:51:28.743	15750		150.0
64	19:51:28.771	15900		150.0
65	19:51:28.787	16050		150.0
66	19:51:28.803	16200		150.0
67	19:51:28.817	16350		150.0
68	19:51:28.833	16500		150.0
69	19:51:28.847	16650		150.0
70	19:51:28.862	16800		150.0
71	19:51:28.877	16950		150.0
72	19:51:28.893	17100		150.0
73	19:51:28.921	17250		150.0
74	19:51:28.937	17400		150.0
75	19:51:28.952	17550		150.0
76	19:51:28.982	17700		150.0
77	19:51:28.997	17850		150.0
78	19:51:29.013	18000		150.0
79	19:51:29.028	18150		150.0
80	19:51:29.056	18300		150.0
81	19:51:29.072	18450		150.0
82	19:51:29.087	18600		150.0
83	19:51:29.116	18750		150.0
84	19:51:29.132	18900		150.0
85	19:51:29.149	19050		150.0
86	19:51:29.149	19200		150.0
87	19:51:29.149	19350		150.0
88	19:51:29.164	19500		150.0
89	19:51:29.179	19650		150.0
90	19:51:29.193	19800		150.0
91	19:51:29.208	19950		150.0
92	19:51:29.237	0		50.0
93	19:51:29.254	150		150.0
94	19:51:29.270	300		150.0
95	19:51:29.284	450		150.0
96	19:51:29.299	600		150.0
97	19:51:29.314	750		150.0
98	19:51:29.329	900		150.0
99	19:51:29.344	1050		150.0
100	19:51:29.358	1200		150.0
101	19:51:29.386	1350		150.0
102	19:51:29.404	1500		150.0
103	19:51:29.419	1650		150.0
104	19:51:29.434	1800		150.0
105	19:51:29.462	1950		150.0
106	19:51:29.479	2100		150.0
107	19:51:29.494	2250		150.0
108	19:51:29.509	2400		150.0
109	19:51:29.522	2550		150.0
110	19:51:29.537	2700		150.0
111	19:51:29.552	2850		150.0
112	19:51:29.568	3000		150.0
113	19:51:29.597	3150		150.0
114	19:51:29.626	3300		150.0
115	19:51:29.642	3450		150.0
116	19:51:29.657	3600		150.0
117	19:51:29.672	3750		150.0
118	19:51:29.701	3900		150.0
119	19:51:29.717	4050		150.0
120	19:51:29.733	4200		150.0
121	19:51:29.733	4350		150.0
122	19:51:29.733	4500		150.0
123	19:51:29.761	4650		150.0
124	19:51:29.777	4800		150.0
125	19:51:29.793	4950		150.0
126	19:51:29.807	5100		150.0
127	19:51:29.823	5250		150.0
