scan_time分析报告 - baseus-主板固定60Hz发送1.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 150.00
  递增值标准差: 0.00
  最小递增值: 150
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 1.000 (1.0为完美一致)
  评估结果: 优秀 - scan_time递增非常稳定

详细数据:
序号	时间戳		scan_time	递增值
170	20:09:58.755	5250		150.0
171	20:09:58.771	5400		150.0
172	20:09:58.786	5550		150.0
173	20:09:58.801	5700		150.0
174	20:09:58.816	5850		150.0
175	20:09:58.831	6000		150.0
176	20:09:58.846	6150		150.0
177	20:09:58.859	6300		150.0
178	20:09:58.888	6450		150.0
179	20:09:58.906	6600		150.0
180	20:09:58.936	6750		150.0
181	20:09:58.951	6900		150.0
182	20:09:58.965	7050		150.0
183	20:09:58.981	7200		150.0
184	20:09:58.996	7350		150.0
185	20:09:59.011	7500		150.0
186	20:09:59.026	7650		150.0
187	20:09:59.041	7800		150.0
188	20:09:59.056	7950		150.0
189	20:09:59.071	8100		150.0
190	20:09:59.086	8250		150.0
191	20:09:59.101	8400		150.0
192	20:09:59.116	8550		150.0
193	20:09:59.130	8700		150.0
194	20:09:59.145	8850		150.0
195	20:09:59.161	9000		150.0
196	20:09:59.176	9150		150.0
197	20:09:59.206	9300		150.0
198	20:09:59.221	9450		150.0
199	20:09:59.236	9600		150.0
200	20:09:59.251	9750		150.0
201	20:09:59.266	9900		150.0
202	20:09:59.280	10050		150.0
203	20:09:59.296	10200		150.0
204	20:09:59.311	10350		150.0
205	20:09:59.340	10500		150.0
206	20:09:59.356	10650		150.0
207	20:09:59.371	10800		150.0
208	20:09:59.386	10950		150.0
209	20:09:59.400	11100		150.0
210	20:09:59.416	11250		150.0
211	20:09:59.446	11400		150.0
212	20:09:59.460	11550		150.0
213	20:09:59.475	11700		150.0
214	20:09:59.490	11850		150.0
215	20:09:59.506	12000		150.0
216	20:09:59.521	12150		150.0
217	20:09:59.536	12300		150.0
218	20:09:59.551	12450		150.0
219	20:09:59.566	12600		150.0
220	20:09:59.580	12750		150.0
221	20:09:59.596	12900		150.0
222	20:09:59.611	13050		150.0
223	20:09:59.626	13200		150.0
224	20:09:59.641	13350		150.0
225	20:09:59.670	13500		150.0
226	20:09:59.686	13650		150.0
227	20:09:59.701	13800		150.0
228	20:09:59.716	13950		150.0
229	20:09:59.746	14100		150.0
230	20:09:59.761	14250		150.0
231	20:09:59.776	14400		150.0
232	20:09:59.791	14550		150.0
233	20:09:59.806	14700		150.0
234	20:09:59.821	14850		150.0
235	20:09:59.836	15000		150.0
236	20:09:59.851	15150		150.0
237	20:09:59.866	15300		150.0
238	20:09:59.896	15450		150.0
239	20:09:59.911	15600		150.0
240	20:09:59.926	15750		150.0
241	20:09:59.941	15900		150.0
242	20:09:59.956	16050		150.0
243	20:09:59.971	16200		150.0
244	20:09:59.985	16350		150.0
245	20:10:00.001	16500		150.0
246	20:10:00.016	16650		150.0
247	20:10:00.031	16800		150.0
248	20:10:00.061	16950		150.0
249	20:10:00.076	17100		150.0
250	20:10:00.089	17250		150.0
251	20:10:00.104	17400		150.0
252	20:10:00.133	17550		150.0
253	20:10:00.149	17700		150.0
254	20:10:00.179	17850		150.0
255	20:10:00.194	18000		150.0
256	20:10:00.209	18150		150.0
257	20:10:00.224	18300		150.0
258	20:10:00.239	18450		150.0
259	20:10:00.254	18600		150.0
260	20:10:00.269	18750		150.0
261	20:10:00.284	18900		150.0
262	20:10:00.299	19050		150.0
263	20:10:00.316	19200		150.0
264	20:10:00.331	19350		150.0
265	20:10:00.346	19500		150.0
266	20:10:00.361	19650		150.0
267	20:10:00.376	19800		150.0
268	20:10:00.391	19950		150.0
269	20:10:00.406	0		150.0
270	20:10:00.421	150		150.0
271	20:10:00.451	300		150.0
272	20:10:00.466	450		150.0
273	20:10:00.481	600		150.0
274	20:10:00.496	750		150.0
275	20:10:00.511	900		150.0
276	20:10:00.526	1050		150.0
277	20:10:00.541	1200		150.0
278	20:10:00.556	1350		150.0
279	20:10:00.571	1500		150.0
280	20:10:00.599	1650		150.0
281	20:10:00.616	1800		150.0
282	20:10:00.631	1950		150.0
283	20:10:00.646	2100		150.0
284	20:10:00.661	2250		150.0
285	20:10:00.676	2400		150.0
286	20:10:00.691	2550		150.0
287	20:10:00.704	2700		150.0
288	20:10:00.721	2850		150.0
289	20:10:00.751	3000		150.0
290	20:10:00.766	3150		150.0
291	20:10:00.781	3300		150.0
292	20:10:00.796	3450		150.0
293	20:10:00.811	3600		150.0
294	20:10:00.826	3750		150.0
295	20:10:00.841	3900		150.0
296	20:10:00.856	4050		150.0
297	20:10:00.871	4200		150.0
298	20:10:00.886	4350		150.0
299	20:10:00.916	4500		150.0
300	20:10:00.931	4650		150.0
301	20:10:00.946	4800		150.0
302	20:10:00.961	4950		150.0
303	20:10:00.991	5100		150.0
304	20:10:01.006	5250		150.0
305	20:10:01.021	5400		150.0
306	20:10:01.036	5550		150.0
