scan_time分析报告 - baseus-主板固定60Hz发送3.txt
==================================================

基本统计信息:
  总数据包数: 1504
  有效scan_time数: 1504
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 159.68
  递增值标准差: 407.54
  最小递增值: 0
  最大递增值: 15950

重置分析:
  检测到重置次数: 12
  重置点位置: [29, 163, 297, 431, 565, 699, 833, 967, 1101, 1235]...
  平均重置间隔: 115.7 包/次

一致性评估:
  一致性评分: 0.002 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
171	20:14:21.567	1050		150.0
172	20:14:21.582	1200		150.0
173	20:14:21.597	1350		150.0
174	20:14:21.612	1500		150.0
175	20:14:21.627	1650		150.0
176	20:14:21.642	1800		150.0
177	20:14:21.671	1950		150.0
178	20:14:21.687	2100		150.0
179	20:14:21.703	2250		150.0
180	20:14:21.718	2400		150.0
181	20:14:21.734	2550		150.0
182	20:14:21.749	2700		150.0
183	20:14:21.764	2850		150.0
184	20:14:21.779	3000		150.0
185	20:14:21.794	3150		150.0
186	20:14:21.822	3300		150.0
187	20:14:21.839	3450		150.0
188	20:14:21.854	3600		150.0
189	20:14:21.869	3750		150.0
190	20:14:21.884	3900		150.0
191	20:14:21.899	4050		150.0
192	20:14:21.914	4200		150.0
193	20:14:21.927	4350		150.0
194	20:14:21.944	4500		150.0
195	20:14:21.959	4650		150.0
196	20:14:21.989	4800		150.0
197	20:14:22.004	4950		150.0
198	20:14:22.019	5100		150.0
199	20:14:22.034	5250		150.0
200	20:14:22.050	5400		150.0
201	20:14:22.079	5550		150.0
202	20:14:22.094	5700		150.0
203	20:14:22.109	5850		150.0
204	20:14:22.124	6000		150.0
205	20:14:22.139	6150		150.0
206	20:14:22.154	6300		150.0
207	20:14:22.169	6450		150.0
208	20:14:22.184	6600		150.0
209	20:14:22.212	6750		150.0
210	20:14:22.229	6900		150.0
211	20:14:22.244	7050		150.0
212	20:14:22.259	7200		150.0
213	20:14:22.274	7350		150.0
