scan_time分析报告 - baseus-主板固定60Hz发送2.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 149.25
  递增值标准差: 8.61
  最小递增值: 50
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 0.104 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
--------------------------------------------------
1	20:13:00.252	0		N/A
2	20:13:00.282	150		150.0
3	20:13:00.298	300		150.0
4	20:13:00.313	450		150.0
5	20:13:00.328	600		150.0
6	20:13:00.343	750		150.0
7	20:13:00.358	900		150.0
8	20:13:00.373	1050		150.0
9	20:13:00.389	1200		150.0
10	20:13:00.404	1350		150.0
11	20:13:00.419	1500		150.0
12	20:13:00.434	1650		150.0
13	20:13:00.449	1800		150.0
14	20:13:00.464	1950		150.0
15	20:13:00.479	2100		150.0
16	20:13:00.494	2250		150.0
17	20:13:00.509	2400		150.0
18	20:13:00.538	2550		150.0
19	20:13:00.554	2700		150.0
20	20:13:00.569	2850		150.0
21	20:13:00.584	3000		150.0
22	20:13:00.599	3150		150.0
23	20:13:00.630	3300		150.0
24	20:13:00.645	3450		150.0
25	20:13:00.659	3600		150.0
26	20:13:00.674	3750		150.0
27	20:13:00.689	3900		150.0
28	20:13:00.704	4050		150.0
29	20:13:00.718	4200		150.0
30	20:13:00.733	4350		150.0
31	20:13:00.762	4500		150.0
32	20:13:00.778	4650		150.0
33	20:13:00.793	4800		150.0
34	20:13:00.808	4950		150.0
35	20:13:00.823	5100		150.0
36	20:13:00.838	5250		150.0
37	20:13:00.853	5400		150.0
38	20:13:00.868	5550		150.0
39	20:13:00.883	5700		150.0
40	20:13:00.912	5850		150.0
41	20:13:00.929	6000		150.0
42	20:13:00.944	6150		150.0
43	20:13:00.958	6300		150.0
44	20:13:00.973	6450		150.0
45	20:13:00.988	6600		150.0
46	20:13:01.003	6750		150.0
47	20:13:01.018	6900		150.0
48	20:13:01.033	7050		150.0
49	20:13:01.048	7200		150.0
50	20:13:01.077	7350		150.0
