scan_time分析报告 - KB04122-主板固定60Hz发送5.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 149.25
  递增值标准差: 8.61
  最小递增值: 50
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 0.104 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
147	19:56:30.557	1800		150.0
148	19:56:30.572	1950		150.0
149	19:56:30.587	2100		150.0
150	19:56:30.602	2250		150.0
151	19:56:30.616	2400		150.0
152	19:56:30.632	2550		150.0
153	19:56:30.647	2700		150.0
154	19:56:30.662	2850		150.0
155	19:56:30.677	3000		150.0
156	19:56:30.693	3150		150.0
157	19:56:30.707	3300		150.0
158	19:56:30.721	3450		150.0
159	19:56:30.736	3600		150.0
160	19:56:30.764	3750		150.0
161	19:56:30.781	3900		150.0
162	19:56:30.796	4050		150.0
163	19:56:30.811	4200		150.0
164	19:56:30.826	4350		150.0
165	19:56:30.841	4500		150.0
166	19:56:30.856	4650		150.0
167	19:56:30.871	4800		150.0
168	19:56:30.886	4950		150.0
169	19:56:30.914	5100		150.0
170	19:56:30.931	5250		150.0
171	19:56:30.946	5400		150.0
172	19:56:30.961	5550		150.0
173	19:56:30.977	5700		150.0
174	19:56:30.993	5850		150.0
175	19:56:31.008	6000		150.0
176	19:56:31.022	6150		150.0
177	19:56:31.037	6300		150.0
178	19:56:31.067	6450		150.0
179	19:56:31.082	6600		150.0
180	19:56:31.097	6750		150.0
181	19:56:31.112	6900		150.0
182	19:56:31.127	7050		150.0
183	19:56:31.142	7200		150.0
184	19:56:31.157	7350		150.0
185	19:56:31.172	7500		150.0
186	19:56:31.187	7650		150.0
187	19:56:31.202	7800		150.0
188	19:56:31.231	7950		150.0
189	19:56:31.247	8100		150.0
190	19:56:31.262	8250		150.0
191	19:56:31.278	8400		150.0
192	19:56:31.293	8550		150.0
193	19:56:31.307	8700		150.0
194	19:56:31.322	8850		150.0
195	19:56:31.336	9000		150.0
196	19:56:31.352	9150		150.0
197	19:56:31.382	9300		150.0
198	19:56:31.397	9450		150.0
199	19:56:31.412	9600		150.0
200	19:56:31.427	9750		150.0
201	19:56:31.441	9900		150.0
202	19:56:31.457	10050		150.0
203	19:56:31.472	10200		150.0
204	19:56:31.487	10350		150.0
205	19:56:31.502	10500		150.0
206	19:56:31.532	10650		150.0
207	19:56:31.547	10800		150.0
208	19:56:31.562	10950		150.0
209	19:56:31.578	11100		150.0
210	19:56:31.593	11250		150.0
211	19:56:31.608	11400		150.0
212	19:56:31.622	11550		150.0
213	19:56:31.637	11700		150.0
214	19:56:31.652	11850		150.0
215	19:56:31.667	12000		150.0
216	19:56:31.695	12150		150.0
217	19:56:31.712	12300		150.0
218	19:56:31.727	12450		150.0
219	19:56:31.742	12600		150.0
220	19:56:31.757	12750		150.0
221	19:56:31.772	12900		150.0
222	19:56:31.787	13050		150.0
223	19:56:31.802	13200		150.0
224	19:56:31.817	13350		150.0
225	19:56:31.846	13500		150.0
226	19:56:31.862	13650		150.0
227	19:56:31.877	13800		150.0
228	19:56:31.893	13950		150.0
229	19:56:31.908	14100		150.0
230	19:56:31.922	14250		150.0
231	19:56:31.937	14400		150.0
232	19:56:31.951	14550		150.0
233	19:56:31.967	14700		150.0
234	19:56:31.997	14850		150.0
235	19:56:32.012	15000		150.0
236	19:56:32.027	15150		150.0
237	19:56:32.042	15300		150.0
238	19:56:32.056	15450		150.0
239	19:56:32.072	15600		150.0
240	19:56:32.087	15750		150.0
241	19:56:32.102	15900		150.0
242	19:56:32.117	16050		150.0
243	19:56:32.132	16200		150.0
244	19:56:32.162	16350		150.0
245	19:56:32.177	16500		150.0
246	19:56:32.193	16650		150.0
247	19:56:32.208	16800		150.0
248	19:56:32.222	16950		150.0
249	19:56:32.237	17100		150.0
250	19:56:32.252	17250		150.0
251	19:56:32.267	17400		150.0
252	19:56:32.282	17550		150.0
253	19:56:32.312	17700		150.0
254	19:56:32.327	17850		150.0
255	19:56:32.342	18000		150.0
256	19:56:32.357	18150		150.0
257	19:56:32.372	18300		150.0
258	19:56:32.387	18450		150.0
259	19:56:32.402	18600		150.0
260	19:56:32.417	18750		150.0
261	19:56:32.432	18900		150.0
262	19:56:32.461	19050		150.0
263	19:56:32.478	19200		150.0
264	19:56:32.493	19350		150.0
265	19:56:32.507	19500		150.0
266	19:56:32.522	19650		150.0
267	19:56:32.537	19800		150.0
268	19:56:32.552	19950		150.0
269	19:56:32.566	0		50.0
270	19:56:32.582	150		150.0
271	19:56:32.597	300		150.0
272	19:56:32.627	450		150.0
273	19:56:32.642	600		150.0
274	19:56:32.657	750		150.0
275	19:56:32.671	900		150.0
276	19:56:32.687	1050		150.0
277	19:56:32.702	1200		150.0
278	19:56:32.717	1350		150.0
279	19:56:32.732	1500		150.0
280	19:56:32.747	1650		150.0
281	19:56:32.777	1800		150.0
282	19:56:32.793	1950		150.0
283	19:56:32.807	2100		150.0
284	19:56:32.822	2250		150.0
285	19:56:32.837	2400		150.0
286	19:56:32.852	2550		150.0
287	19:56:32.867	2700		150.0
288	19:56:32.882	2850		150.0
289	19:56:32.897	3000		150.0
290	19:56:32.927	3150		150.0
291	19:56:32.942	3300		150.0
292	19:56:32.957	3450		150.0
293	19:56:32.971	3600		150.0
294	19:56:32.987	3750		150.0
295	19:56:33.002	3900		150.0
296	19:56:33.017	4050		150.0
297	19:56:33.032	4200		150.0
