scan_time分析报告 - KB04122-主板固定60Hz发送1.txt
==================================================

基本统计信息:
  总数据包数: 1447
  有效scan_time数: 1447
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 150.00
  递增值标准差: 0.00
  最小递增值: 150
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [106, 240, 374, 508, 642, 776, 910, 1044, 1178, 1312]...
  平均重置间隔: 120.6 包/次

一致性评估:
  一致性评分: 1.000 (1.0为完美一致)
  评估结果: 优秀 - scan_time递增非常稳定

详细数据:
序号	时间戳		scan_time	递增值
146	19:47:35.719	5850		150.0
147	19:47:35.734	6000		150.0
148	19:47:35.749	6150		150.0
149	19:47:35.764	6300		150.0
150	19:47:35.779	6450		150.0
151	19:47:35.794	6600		150.0
152	19:47:35.809	6750		150.0
153	19:47:35.824	6900		150.0
154	19:47:35.853	7050		150.0
155	19:47:35.869	7200		150.0
156	19:47:35.884	7350		150.0
157	19:47:35.899	7500		150.0
158	19:47:35.928	7650		150.0
159	19:47:35.944	7800		150.0
160	19:47:35.959	7950		150.0
161	19:47:35.974	8100		150.0
162	19:47:35.989	8250		150.0
163	19:47:36.004	8400		150.0
164	19:47:36.019	8550		150.0
165	19:47:36.063	8700		150.0
166	19:47:36.081	8850		150.0
167	19:47:36.094	9000		150.0
168	19:47:36.109	9150		150.0
169	19:47:36.124	9300		150.0
170	19:47:36.139	9450		150.0
171	19:47:36.154	9600		150.0
172	19:47:36.169	9750		150.0
173	19:47:36.184	9900		150.0
174	19:47:36.199	10050		150.0
175	19:47:36.228	10200		150.0
176	19:47:36.258	10350		150.0
177	19:47:36.274	10500		150.0
178	19:47:36.290	10650		150.0
179	19:47:36.290	10800		150.0
180	19:47:36.290	10950		150.0
181	19:47:36.304	11100		150.0
182	19:47:36.333	11250		150.0
183	19:47:36.349	11400		150.0
184	19:47:36.364	11550		150.0
185	19:47:36.379	11700		150.0
186	19:47:36.394	11850		150.0
187	19:47:36.409	12000		150.0
188	19:47:36.424	12150		150.0
189	19:47:36.439	12300		150.0
190	19:47:36.468	12450		150.0
191	19:47:36.485	12600		150.0
192	19:47:36.499	12750		150.0
193	19:47:36.514	12900		150.0
194	19:47:36.529	13050		150.0
195	19:47:36.544	13200		150.0
196	19:47:36.559	13350		150.0
197	19:47:36.574	13500		150.0
198	19:47:36.589	13650		150.0
199	19:47:36.604	13800		150.0
200	19:47:36.648	13950		150.0
201	19:47:36.664	14100		150.0
202	19:47:36.679	14250		150.0
203	19:47:36.694	14400		150.0
204	19:47:36.709	14550		150.0
205	19:47:36.724	14700		150.0
206	19:47:36.739	14850		150.0
207	19:47:36.754	15000		150.0
208	19:47:36.769	15150		150.0
209	19:47:36.784	15300		150.0
210	19:47:36.799	15450		150.0
211	19:47:36.814	15600		150.0
212	19:47:36.829	15750		150.0
213	19:47:36.844	15900		150.0
214	19:47:36.873	16050		150.0
215	19:47:36.889	16200		150.0
216	19:47:36.904	16350		150.0
217	19:47:36.919	16500		150.0
218	19:47:36.936	16650		150.0
219	19:47:36.951	16800		150.0
220	19:47:36.964	16950		150.0
221	19:47:36.979	17100		150.0
222	19:47:37.008	17250		150.0
223	19:47:37.038	17400		150.0
224	19:47:37.054	17550		150.0
225	19:47:37.069	17700		150.0
226	19:47:37.084	17850		150.0
227	19:47:37.099	18000		150.0
228	19:47:37.114	18150		150.0
229	19:47:37.129	18300		150.0
230	19:47:37.144	18450		150.0
231	19:47:37.159	18600		150.0
232	19:47:37.174	18750		150.0
233	19:47:37.189	18900		150.0
234	19:47:37.204	19050		150.0
235	19:47:37.219	19200		150.0
236	19:47:37.234	19350		150.0
237	19:47:37.249	19500		150.0
238	19:47:37.264	19650		150.0
239	19:47:37.279	19800		150.0
240	19:47:37.294	19950		150.0
241	19:47:37.323	0		150.0
242	19:47:37.339	150		150.0
243	19:47:37.356	300		150.0
244	19:47:37.384	450		150.0
245	19:47:37.401	600		150.0
246	19:47:37.416	750		150.0
247	19:47:37.446	900		150.0
248	19:47:37.461	1050		150.0
249	19:47:37.476	1200		150.0
250	19:47:37.491	1350		150.0
251	19:47:37.506	1500		150.0
252	19:47:37.521	1650		150.0
253	19:47:37.549	1800		150.0
254	19:47:37.566	1950		150.0
255	19:47:37.581	2100		150.0
256	19:47:37.581	2250		150.0
257	19:47:37.581	2400		150.0
258	19:47:37.596	2550		150.0
259	19:47:37.611	2700		150.0
260	19:47:37.641	2850		150.0
261	19:47:37.656	3000		150.0
262	19:47:37.672	3150		150.0
263	19:47:37.686	3300		150.0
264	19:47:37.701	3450		150.0
265	19:47:37.716	3600		150.0
266	19:47:37.730	3750		150.0
267	19:47:37.746	3900		150.0
268	19:47:37.759	4050		150.0
269	19:47:37.803	4200		150.0
270	19:47:37.819	4350		150.0
271	19:47:37.834	4500		150.0
272	19:47:37.849	4650		150.0
273	19:47:37.878	4800		150.0
274	19:47:37.894	4950		150.0
275	19:47:37.909	5100		150.0
276	19:47:37.924	5250		150.0
277	19:47:37.939	5400		150.0
278	19:47:37.954	5550		150.0
279	19:47:37.969	5700		150.0
280	19:47:37.999	5850		150.0
281	19:47:38.014	6000		150.0
282	19:47:38.029	6150		150.0
283	19:47:38.044	6300		150.0
284	19:47:38.073	6450		150.0
285	19:47:38.089	6600		150.0
286	19:47:38.104	6750		150.0
287	19:47:38.105	6900		150.0
288	19:47:38.105	7050		150.0
289	19:47:38.119	7200		150.0
290	19:47:38.134	7350		150.0
291	19:47:38.149	7500		150.0
292	19:47:38.178	7650		150.0
293	19:47:38.194	7800		150.0
294	19:47:38.209	7950		150.0
295	19:47:38.224	8100		150.0
296	19:47:38.239	8250		150.0
297	19:47:38.254	8400		150.0
298	19:47:38.269	8550		150.0
299	19:47:38.284	8700		150.0
300	19:47:38.313	8850		150.0
301	19:47:38.329	9000		150.0
302	19:47:38.344	9150		150.0
303	19:47:38.359	9300		150.0
304	19:47:38.388	9450		150.0
305	19:47:38.404	9600		150.0
306	19:47:38.419	9750		150.0
307	19:47:38.434	9900		150.0
308	19:47:38.449	10050		150.0
309	19:47:38.464	10200		150.0
310	19:47:38.479	10350		150.0
311	19:47:38.494	10500		150.0
312	19:47:38.509	10650		150.0
313	19:47:38.524	10800		150.0
314	19:47:38.539	10950		150.0
315	19:47:38.554	11100		150.0
316	19:47:38.569	11250		150.0
317	19:47:38.586	11400		150.0
318	19:47:38.616	11550		150.0
319	19:47:38.631	11700		150.0
320	19:47:38.646	11850		150.0
321	19:47:38.659	12000		150.0
322	19:47:38.674	12150		150.0
323	19:47:38.689	12300		150.0
324	19:47:38.704	12450		150.0
325	19:47:38.719	12600		150.0
326	19:47:38.734	12750		150.0
327	19:47:38.749	12900		150.0
328	19:47:38.764	13050		150.0
329	19:47:38.793	13200		150.0
330	19:47:38.809	13350		150.0
331	19:47:38.824	13500		150.0
332	19:47:38.839	13650		150.0
333	19:47:38.854	13800		150.0
334	19:47:38.869	13950		150.0
335	19:47:38.884	14100		150.0
336	19:47:38.899	14250		150.0
337	19:47:38.914	14400		150.0
338	19:47:38.943	14550		150.0
339	19:47:38.959	14700		150.0
340	19:47:38.974	14850		150.0
341	19:47:38.989	15000		150.0
342	19:47:39.018	15150		150.0
343	19:47:39.034	15300		150.0
344	19:47:39.049	15450		150.0
345	19:47:39.064	15600		150.0
346	19:47:39.079	15750		150.0
347	19:47:39.094	15900		150.0
348	19:47:39.123	16050		150.0
349	19:47:39.139	16200		150.0
350	19:47:39.154	16350		150.0
351	19:47:39.170	16500		150.0
352	19:47:39.184	16650		150.0
353	19:47:39.199	16800		150.0
354	19:47:39.214	16950		150.0
355	19:47:39.229	17100		150.0
356	19:47:39.244	17250		150.0
357	19:47:39.261	17400		150.0
358	19:47:39.276	17550		150.0
359	19:47:39.291	17700		150.0
360	19:47:39.306	17850		150.0
361	19:47:39.321	18000		150.0
362	19:47:39.336	18150		150.0
363	19:47:39.364	18300		150.0
364	19:47:39.381	18450		150.0
365	19:47:39.396	18600		150.0
366	19:47:39.411	18750		150.0
367	19:47:39.426	18900		150.0
368	19:47:39.441	19050		150.0
369	19:47:39.456	19200		150.0
370	19:47:39.486	19350		150.0
371	19:47:39.501	19500		150.0
372	19:47:39.516	19650		150.0
373	19:47:39.544	19800		150.0
374	19:47:39.561	19950		150.0
375	19:47:39.574	0		150.0
376	19:47:39.591	150		150.0
377	19:47:39.606	300		150.0
378	19:47:39.621	450		150.0
379	19:47:39.636	600		150.0
380	19:47:39.649	750		150.0
381	19:47:39.664	900		150.0
382	19:47:39.679	1050		150.0
383	19:47:39.694	1200		150.0
384	19:47:39.709	1350		150.0
385	19:47:39.738	1500		150.0
386	19:47:39.754	1650		150.0
387	19:47:39.770	1800		150.0
388	19:47:39.785	1950		150.0
389	19:47:39.813	2100		150.0
390	19:47:39.829	2250		150.0
391	19:47:39.844	2400		150.0
392	19:47:39.859	2550		150.0
393	19:47:39.874	2700		150.0
394	19:47:39.889	2850		150.0
395	19:47:39.918	3000		150.0
396	19:47:39.934	3150		150.0
397	19:47:39.949	3300		150.0
398	19:47:39.964	3450		150.0
399	19:47:39.979	3600		150.0
400	19:47:39.994	3750		150.0
401	19:47:40.009	3900		150.0
402	19:47:40.024	4050		150.0
403	19:47:40.039	4200		150.0
404	19:47:40.054	4350		150.0
405	19:47:40.069	4500		150.0
406	19:47:40.085	4650		150.0
407	19:47:40.099	4800		150.0
408	19:47:40.143	4950		150.0
409	19:47:40.159	5100		150.0
410	19:47:40.174	5250		150.0
411	19:47:40.174	5400		150.0
412	19:47:40.189	5550		150.0
413	19:47:40.204	5700		150.0
414	19:47:40.219	5850		150.0
415	19:47:40.234	6000		150.0
416	19:47:40.249	6150		150.0
417	19:47:40.264	6300		150.0
418	19:47:40.279	6450		150.0
419	19:47:40.294	6600		150.0
420	19:47:40.311	6750		150.0
421	19:47:40.353	6900		150.0
422	19:47:40.369	7050		150.0
423	19:47:40.384	7200		150.0
424	19:47:40.399	7350		150.0
425	19:47:40.414	7500		150.0
426	19:47:40.429	7650		150.0
427	19:47:40.444	7800		150.0
428	19:47:40.459	7950		150.0
429	19:47:40.474	8100		150.0
430	19:47:40.489	8250		150.0
431	19:47:40.504	8400		150.0
432	19:47:40.519	8550		150.0
433	19:47:40.534	8700		150.0
434	19:47:40.549	8850		150.0
435	19:47:40.564	9000		150.0
436	19:47:40.579	9150		150.0
437	19:47:40.594	9300		150.0
