scan_time分析报告 - beisi_check_66Hz.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 150.00
  递增值标准差: 0.00
  最小递增值: 150
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 1.000 (1.0为完美一致)
  评估结果: 优秀 - scan_time递增非常稳定

详细数据:
序号	时间戳		scan_time	递增值
170	16:12:30.694	5250		150.0
171	16:12:30.709	5400		150.0
172	16:12:30.724	5550		150.0
173	16:12:30.739	5700		150.0
174	16:12:30.754	5850		150.0
175	16:12:30.769	6000		150.0
176	16:12:30.784	6150		150.0
177	16:12:30.799	6300		150.0
178	16:12:30.813	6450		150.0
179	16:12:30.829	6600		150.0
180	16:12:30.844	6750		150.0
181	16:12:30.859	6900		150.0
182	16:12:30.874	7050		150.0
183	16:12:30.889	7200		150.0
184	16:12:30.904	7350		150.0
185	16:12:30.919	7500		150.0
186	16:12:30.934	7650		150.0
187	16:12:30.949	7800		150.0
188	16:12:30.964	7950		150.0
189	16:12:30.979	8100		150.0
190	16:12:30.994	8250		150.0
191	16:12:31.009	8400		150.0
192	16:12:31.024	8550		150.0
193	16:12:31.039	8700		150.0
194	16:12:31.053	8850		150.0
195	16:12:31.069	9000		150.0
196	16:12:31.084	9150		150.0
197	16:12:31.099	9300		150.0
198	16:12:31.114	9450		150.0
199	16:12:31.129	9600		150.0
200	16:12:31.144	9750		150.0
201	16:12:31.159	9900		150.0
202	16:12:31.174	10050		150.0
203	16:12:31.189	10200		150.0
204	16:12:31.204	10350		150.0
205	16:12:31.219	10500		150.0
206	16:12:31.234	10650		150.0
207	16:12:31.249	10800		150.0
208	16:12:31.264	10950		150.0
209	16:12:31.279	11100		150.0
210	16:12:31.294	11250		150.0
211	16:12:31.309	11400		150.0
212	16:12:31.324	11550		150.0
213	16:12:31.339	11700		150.0
214	16:12:31.354	11850		150.0
215	16:12:31.369	12000		150.0
216	16:12:31.384	12150		150.0
217	16:12:31.399	12300		150.0
218	16:12:31.413	12450		150.0
219	16:12:31.429	12600		150.0
220	16:12:31.444	12750		150.0
221	16:12:31.459	12900		150.0
222	16:12:31.474	13050		150.0
223	16:12:31.489	13200		150.0
224	16:12:31.504	13350		150.0
225	16:12:31.519	13500		150.0
226	16:12:31.534	13650		150.0
227	16:12:31.548	13800		150.0
228	16:12:31.563	13950		150.0
229	16:12:31.579	14100		150.0
230	16:12:31.594	14250		150.0
231	16:12:31.609	14400		150.0
232	16:12:31.624	14550		150.0
233	16:12:31.639	14700		150.0
234	16:12:31.653	14850		150.0
235	16:12:31.669	15000		150.0
236	16:12:31.684	15150		150.0
237	16:12:31.699	15300		150.0
238	16:12:31.713	15450		150.0
239	16:12:31.729	15600		150.0
240	16:12:31.744	15750		150.0
241	16:12:31.759	15900		150.0
242	16:12:31.789	16050		150.0
243	16:12:31.804	16200		150.0
244	16:12:31.819	16350		150.0
245	16:12:31.834	16500		150.0
246	16:12:31.849	16650		150.0
247	16:12:31.864	16800		150.0
248	16:12:31.879	16950		150.0
249	16:12:31.894	17100		150.0
250	16:12:31.909	17250		150.0
251	16:12:31.924	17400		150.0
252	16:12:31.939	17550		150.0
253	16:12:31.954	17700		150.0
254	16:12:31.968	17850		150.0
255	16:12:31.984	18000		150.0
256	16:12:31.999	18150		150.0
257	16:12:32.013	18300		150.0
258	16:12:32.029	18450		150.0
259	16:12:32.044	18600		150.0
260	16:12:32.059	18750		150.0
261	16:12:32.074	18900		150.0
262	16:12:32.089	19050		150.0
263	16:12:32.104	19200		150.0
264	16:12:32.119	19350		150.0
265	16:12:32.134	19500		150.0
266	16:12:32.149	19650		150.0
267	16:12:32.164	19800		150.0
268	16:12:32.179	19950		150.0
269	16:12:32.194	0		150.0
270	16:12:32.209	150		150.0
271	16:12:32.224	300		150.0
272	16:12:32.239	450		150.0
273	16:12:32.254	600		150.0
274	16:12:32.269	750		150.0
275	16:12:32.284	900		150.0
