name,type,start_time,duration,"rom_command","data"
"1-Wire","reset",2025-09-04T08:21:49.607052375+00:00,0.015010833,,
"1-Wire","reset",2025-09-04T08:21:49.622128542+00:00,0.01471125,,
"1-Wire","reset",2025-09-04T08:21:49.636895708+00:00,0.014779792,,
"1-Wire","reset",2025-09-04T08:21:49.651750083+00:00,0.015046292,,
"1-Wire","reset",2025-09-04T08:21:49.666871250+00:00,0.014858792,,
"1-Wire","reset",2025-09-04T08:21:49.681814250+00:00,0.014902708,,
"1-Wire","reset",2025-09-04T08:21:49.696791625+00:00,0.014963583,,
"1-Wire","reset",2025-09-04T08:21:49.711829958+00:00,0.014899583,,
"1-Wire","reset",2025-09-04T08:21:49.726823250+00:00,0.014873542,,
"1-Wire","reset",2025-09-04T08:21:49.741780875+00:00,0.014972417,,
"1-Wire","reset",2025-09-04T08:21:49.756828125+00:00,0.014871333,,
"1-Wire","reset",2025-09-04T08:21:49.771764333+00:00,0.01496875,,
"1-Wire","reset",2025-09-04T08:21:49.786797958+00:00,0.014854958,,
"1-Wire","reset",2025-09-04T08:21:49.801727125+00:00,0.014997625,,
"1-Wire","reset",2025-09-04T08:21:49.816798917+00:00,0.014874958,,
"1-Wire","reset",2025-09-04T08:21:49.831710667+00:00,0.01502975,,
"1-Wire","reset",2025-09-04T08:21:49.846786750+00:00,0.014925708,,
"1-Wire","reset",2025-09-04T08:21:49.861739792+00:00,0.014980292,,
"1-Wire","reset",2025-09-04T08:21:49.876766375+00:00,0.0150105,,
"1-Wire","reset",2025-09-04T08:21:49.891823292+00:00,0.014931792,,
"1-Wire","reset",2025-09-04T08:21:49.906801458+00:00,0.014946583,,
"1-Wire","reset",2025-09-04T08:21:49.921841833+00:00,0.014826792,,
"1-Wire","reset",2025-09-04T08:21:49.936752292+00:00,0.014913958,,
"1-Wire","reset",2025-09-04T08:21:49.951721542+00:00,0.014985375,,
"1-Wire","reset",2025-09-04T08:21:49.966771792+00:00,0.014736792,,
"1-Wire","reset",2025-09-04T08:21:49.981582833+00:00,0.015104333,,
"1-Wire","reset",2025-09-04T08:21:49.996761333+00:00,0.014947875,,
"1-Wire","reset",2025-09-04T08:21:50.011783667+00:00,0.014966958,,
"1-Wire","reset",2025-09-04T08:21:50.026824792+00:00,0.014873875,,
"1-Wire","reset",2025-09-04T08:21:50.041763417+00:00,0.014966125,,
"1-Wire","reset",2025-09-04T08:21:50.056803708+00:00,0.014882042,,
"1-Wire","reset",2025-09-04T08:21:50.071769792+00:00,0.014913333,,
"1-Wire","reset",2025-09-04T08:21:50.086719917+00:00,0.015009708,,
"1-Wire","reset",2025-09-04T08:21:50.101775875+00:00,0.0150125,,
"1-Wire","reset",2025-09-04T08:21:50.116834833+00:00,0.014882833,,
"1-Wire","reset",2025-09-04T08:21:50.131763917+00:00,0.0149355,,
"1-Wire","reset",2025-09-04T08:21:50.146764625+00:00,0.01498975,,
"1-Wire","reset",2025-09-04T08:21:50.161791250+00:00,0.014908958,,
"1-Wire","reset",2025-09-04T08:21:50.176736958+00:00,0.015001417,,
"1-Wire","reset",2025-09-04T08:21:50.191803708+00:00,0.014928792,,
"1-Wire","reset",2025-09-04T08:21:50.206797792+00:00,0.014892875,,
"1-Wire","reset",2025-09-04T08:21:50.221784208+00:00,0.014995125,,
"1-Wire","reset",2025-09-04T08:21:50.236844667+00:00,0.014878083,,
"1-Wire","reset",2025-09-04T08:21:50.251816000+00:00,0.014930833,,
"1-Wire","reset",2025-09-04T08:21:50.266830708+00:00,0.014876125,,
"1-Wire","reset",2025-09-04T08:21:50.281771583+00:00,0.015005375,,
"1-Wire","reset",2025-09-04T08:21:50.296832292+00:00,0.0148875,,
"1-Wire","reset",2025-09-04T08:21:50.311794000+00:00,0.014931333,,
"1-Wire","reset",2025-09-04T08:21:50.326799833+00:00,0.014918958,,
"1-Wire","reset",2025-09-04T08:21:50.341765042+00:00,0.014997333,,
"1-Wire","reset",2025-09-04T08:21:50.356827750+00:00,0.014930583,,
"1-Wire","reset",2025-09-04T08:21:50.371785708+00:00,0.014993,,
"1-Wire","reset",2025-09-04T08:21:50.386825167+00:00,0.0149195,,
"1-Wire","reset",2025-09-04T08:21:50.401781458+00:00,0.014953167,,
"1-Wire","reset",2025-09-04T08:21:50.416818833+00:00,0.014938167,,
"1-Wire","reset",2025-09-04T08:21:50.431831792+00:00,0.01489125,,
