name,type,start_time,duration
"1-Wire","reset",2025-09-03T09:33:33.538996250+00:00,0.000536958
"1-Wire","reset",2025-09-03T09:33:33.539568208+00:00,0.020324125
"1-Wire","reset",2025-09-03T09:33:33.559946458+00:00,0.014835167
"1-Wire","reset",2025-09-03T09:33:33.574845042+00:00,0.014751958
"1-Wire","reset",2025-09-03T09:33:33.589650417+00:00,0.01513525
"1-Wire","reset",2025-09-03T09:33:33.604829958+00:00,0.014947917
"1-Wire","reset",2025-09-03T09:33:33.619813000+00:00,0.014932083
"1-Wire","reset",2025-09-03T09:33:33.634799000+00:00,0.015090292
"1-Wire","reset",2025-09-03T09:33:33.649933875+00:00,0.014849792
"1-Wire","reset",2025-09-03T09:33:33.664837708+00:00,0.01493975
"1-Wire","reset",2025-09-03T09:33:33.679841000+00:00,0.014985292
"1-Wire","reset",2025-09-03T09:33:33.694880333+00:00,0.014883917
"1-Wire","reset",2025-09-03T09:33:33.709808542+00:00,0.014999792
"1-Wire","reset",2025-09-03T09:33:33.724871500+00:00,0.014924875
"1-Wire","reset",2025-09-03T09:33:33.739859208+00:00,0.014901875
"1-Wire","reset",2025-09-03T09:33:33.754814500+00:00,0.014962792
"1-Wire","reset",2025-09-03T09:33:33.769840083+00:00,0.014929125
"1-Wire","reset",2025-09-03T09:33:33.784822583+00:00,0.014943042
"1-Wire","reset",2025-09-03T09:33:33.799819417+00:00,0.015074583
"1-Wire","reset",2025-09-03T09:33:33.814929167+00:00,0.014920458
"1-Wire","reset",2025-09-03T09:33:33.829865750+00:00,0.014992625
"1-Wire","reset",2025-09-03T09:33:33.844874458+00:00,0.014922
"1-Wire","reset",2025-09-03T09:33:33.859822083+00:00,0.014948958
"1-Wire","reset",2025-09-03T09:33:33.874824958+00:00,0.014746583
"1-Wire","reset",2025-09-03T09:33:33.889625000+00:00,0.015183417
"1-Wire","reset",2025-09-03T09:33:33.904852750+00:00,0.014947458
"1-Wire","reset",2025-09-03T09:33:33.919825792+00:00,0.015018708
"1-Wire","reset",2025-09-03T09:33:33.934870083+00:00,0.014939417
"1-Wire","reset",2025-09-03T09:33:33.949835125+00:00,0.014922
"1-Wire","reset",2025-09-03T09:33:33.964773208+00:00,0.014992417
"1-Wire","reset",2025-09-03T09:33:33.979810333+00:00,0.01495325
"1-Wire","reset",2025-09-03T09:33:33.994817542+00:00,0.014867875
"1-Wire","reset",2025-09-03T09:33:34.009729792+00:00,0.014851333
"1-Wire","reset",2025-09-03T09:33:34.024634542+00:00,0.0149465
"1-Wire","reset",2025-09-03T09:33:34.039643958+00:00,0.014883458
"1-Wire","reset",2025-09-03T09:33:34.054553042+00:00,0.014959458
"1-Wire","reset",2025-09-03T09:33:34.069538042+00:00,0.0148575
"1-Wire","reset",2025-09-03T09:33:34.084430583+00:00,0.014964833
"1-Wire","reset",2025-09-03T09:33:34.099420917+00:00,0.014904083
"1-Wire","reset",2025-09-03T09:33:34.114350583+00:00,0.014887
"1-Wire","reset",2025-09-03T09:33:34.129281917+00:00,0.014867917
"1-Wire","reset",2025-09-03T09:33:34.144194167+00:00,0.014936708
"1-Wire","reset",2025-09-03T09:33:34.159184667+00:00,0.014917333
"1-Wire","reset",2025-09-03T09:33:34.174146333+00:00,0.01493325
"1-Wire","reset",2025-09-03T09:33:34.189133333+00:00,0.014883583
"1-Wire","reset",2025-09-03T09:33:34.204080333+00:00,0.014906458
"1-Wire","reset",2025-09-03T09:33:34.219040500+00:00,0.014887625
"1-Wire","reset",2025-09-03T09:33:34.233981833+00:00,0.014893667
"1-Wire","reset",2025-09-03T09:33:34.248919792+00:00,0.014933625
"1-Wire","reset",2025-09-03T09:33:34.263897708+00:00,0.014926333
"1-Wire","reset",2025-09-03T09:33:34.278887375+00:00,0.014809
"1-Wire","reset",2025-09-03T09:33:34.293750208+00:00,0.014896375
"1-Wire","reset",2025-09-03T09:33:34.308700458+00:00,0.014924375
"1-Wire","reset",2025-09-03T09:33:34.323669208+00:00,0.014841125
"1-Wire","reset",2025-09-03T09:33:34.338554750+00:00,0.014974917
"1-Wire","reset",2025-09-03T09:33:34.353574208+00:00,0.014905875
"1-Wire","reset",2025-09-03T09:33:34.368524458+00:00,0.01503225
"1-Wire","reset",2025-09-03T09:33:34.383619583+00:00,0.014829292
"1-Wire","reset",2025-09-03T09:33:34.398511833+00:00,0.014822583
"1-Wire","reset",2025-09-03T09:33:34.413387875+00:00,0.014956042
"1-Wire","reset",2025-09-03T09:33:34.428397375+00:00,0.01484025
"1-Wire","reset",2025-09-03T09:33:34.443281625+00:00,0.014971958
"1-Wire","reset",2025-09-03T09:33:34.458297583+00:00,0.014868292
"1-Wire","reset",2025-09-03T09:33:34.473229208+00:00,0.014884375
"1-Wire","reset",2025-09-03T09:33:34.488185958+00:00,0.014873375
"1-Wire","reset",2025-09-03T09:33:34.503113000+00:00,0.014949625
"1-Wire","reset",2025-09-03T09:33:34.518088125+00:00,0.014859417
"1-Wire","reset",2025-09-03T09:33:34.532973083+00:00,0.014943458
"1-Wire","reset",2025-09-03T09:33:34.547932583+00:00,0.014938
"1-Wire","reset",2025-09-03T09:33:34.562896125+00:00,0.014917875
"1-Wire","reset",2025-09-03T09:33:34.577849000+00:00,0.01489825
"1-Wire","reset",2025-09-03T09:33:34.592772792+00:00,0.014934
"1-Wire","reset",2025-09-03T09:33:34.607732333+00:00,0.015046417
"1-Wire","reset",2025-09-03T09:33:34.622813750+00:00,0.0148275
"1-Wire","reset",2025-09-03T09:33:34.637676250+00:00,0.014897583
"1-Wire","reset",2025-09-03T09:33:34.652608833+00:00,0.014919125
"1-Wire","reset",2025-09-03T09:33:34.667581833+00:00,0.014919292
"1-Wire","reset",2025-09-03T09:33:34.682564417+00:00,0.014858958
"1-Wire","reset",2025-09-03T09:33:34.697486667+00:00,0.014881375
"1-Wire","reset",2025-09-03T09:33:34.712431375+00:00,0.014926375
"1-Wire","reset",2025-09-03T09:33:34.727402125+00:00,0.014871083
"1-Wire","reset",2025-09-03T09:33:34.742327083+00:00,0.014887958
"1-Wire","reset",2025-09-03T09:33:34.757268458+00:00,0.014930792
"1-Wire","reset",2025-09-03T09:33:34.772252667+00:00,0.014921792
"1-Wire","reset",2025-09-03T09:33:34.787190500+00:00,0.014942417
"1-Wire","reset",2025-09-03T09:33:34.802167958+00:00,0.014860417
"1-Wire","reset",2025-09-03T09:33:34.817082250+00:00,0.014896417
"1-Wire","reset",2025-09-03T09:33:34.832032708+00:00,0.014916333
"1-Wire","reset",2025-09-03T09:33:34.847002875+00:00,0.014909542
"1-Wire","reset",2025-09-03T09:33:34.861956792+00:00,0.014909583
"1-Wire","reset",2025-09-03T09:33:34.876929708+00:00,0.014925208
"1-Wire","reset",2025-09-03T09:33:34.891927708+00:00,0.01483875
"1-Wire","reset",2025-09-03T09:33:34.906810458+00:00,0.014870208
"1-Wire","reset",2025-09-03T09:33:34.921743583+00:00,0.014936917
"1-Wire","reset",2025-09-03T09:33:34.936733958+00:00,0.014896875
"1-Wire","reset",2025-09-03T09:33:34.951646917+00:00,0.014958458
"1-Wire","reset",2025-09-03T09:33:34.966640333+00:00,0.014905875
"1-Wire","reset",2025-09-03T09:33:34.981562292+00:00,0.0149295
"1-Wire","reset",2025-09-03T09:33:34.996564542+00:00,0.014871333
"1-Wire","reset",2025-09-03T09:33:35.011489708+00:00,0.014877625
"1-Wire","reset",2025-09-03T09:33:35.026421333+00:00,0.014897833
"1-Wire","reset",2025-09-03T09:33:35.041363458+00:00,0.014889542
"1-Wire","reset",2025-09-03T09:33:35.056306458+00:00,0.014937458
"1-Wire","reset",2025-09-03T09:33:35.071297375+00:00,0.014907208
"1-Wire","reset",2025-09-03T09:33:35.086249042+00:00,0.014890667
"1-Wire","reset",2025-09-03T09:33:35.101165250+00:00,0.014970375
"1-Wire","reset",2025-09-03T09:33:35.116170625+00:00,0.014879208
"1-Wire","reset",2025-09-03T09:33:35.131084833+00:00,0.014886625
"1-Wire","reset",2025-09-03T09:33:35.146015833+00:00,0.01489
"1-Wire","reset",2025-09-03T09:33:35.160969125+00:00,0.014937833
"1-Wire","reset",2025-09-03T09:33:35.175960792+00:00,0.014876667
"1-Wire","reset",2025-09-03T09:33:35.190891333+00:00,0.014945292
"1-Wire","reset",2025-09-03T09:33:35.205900000+00:00,0.014877708
"1-Wire","reset",2025-09-03T09:33:35.220841042+00:00,0.014876958
"1-Wire","reset",2025-09-03T09:33:35.235772042+00:00,0.014862458
"1-Wire","reset",2025-09-03T09:33:35.250688042+00:00,0.014941625
"1-Wire","reset",2025-09-03T09:33:35.265692625+00:00,0.014878583
"1-Wire","reset",2025-09-03T09:33:35.280634167+00:00,0.014856792
"1-Wire","reset",2025-09-03T09:33:35.295516500+00:00,0.014990417
"1-Wire","reset",2025-09-03T09:33:35.310532417+00:00,0.014919333
