name,type,start_time,duration
"1-Wire","reset",2025-09-04T08:26:40.257271958+00:00,0.015032625
"1-Wire","reset",2025-09-04T08:26:40.272351000+00:00,0.014713667
"1-Wire","reset",2025-09-04T08:26:40.287111125+00:00,0.014891042
"1-Wire","reset",2025-09-04T08:26:40.302048583+00:00,0.014893458
"1-Wire","reset",2025-09-04T08:26:40.316978833+00:00,0.014911833
"1-Wire","reset",2025-09-04T08:26:40.331974792+00:00,0.01497275
"1-Wire","reset",2025-09-04T08:26:40.347031708+00:00,0.0148475
"1-Wire","reset",2025-09-04T08:26:40.361962958+00:00,0.014967292
"1-Wire","reset",2025-09-04T08:26:40.376995167+00:00,0.014707833
"1-Wire","reset",2025-09-04T08:26:40.391767833+00:00,0.015134875
"1-Wire","reset",2025-09-04T08:26:40.406986417+00:00,0.0148705
"1-Wire","reset",2025-09-04T08:26:40.421912208+00:00,0.014947167
"1-Wire","reset",2025-09-04T08:26:40.436924167+00:00,0.0150195
"1-Wire","reset",2025-09-04T08:26:40.452027625+00:00,0.014889125
"1-Wire","reset",2025-09-04T08:26:40.466920917+00:00,0.014960167
"1-Wire","reset",2025-09-04T08:26:40.481894750+00:00,0.015079667
"1-Wire","reset",2025-09-04T08:26:40.497048667+00:00,0.014888292
"1-Wire","reset",2025-09-04T08:26:40.511941125+00:00,0.01495325
"1-Wire","reset",2025-09-04T08:26:40.526978167+00:00,0.015036167
"1-Wire","reset",2025-09-04T08:26:40.542079083+00:00,0.014904875
"1-Wire","reset",2025-09-04T08:26:40.557067625+00:00,0.0148325
"1-Wire","reset",2025-09-04T08:26:40.571993333+00:00,0.0149535
"1-Wire","reset",2025-09-04T08:26:40.587049458+00:00,0.014881
"1-Wire","reset",2025-09-04T08:26:40.601995542+00:00,0.014904667
"1-Wire","reset",2025-09-04T08:26:40.616993417+00:00,0.014980458
"1-Wire","reset",2025-09-04T08:26:40.632048250+00:00,0.014708125
"1-Wire","reset",2025-09-04T08:26:40.646830792+00:00,0.015090833
"1-Wire","reset",2025-09-04T08:26:40.661995917+00:00,0.014954042
"1-Wire","reset",2025-09-04T08:26:40.677005750+00:00,0.014963042
"1-Wire","reset",2025-09-04T08:26:40.692034125+00:00,0.0148725
